dataset,run_id,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec,best_gain_vs_normal,best_pct_vs_normal_after
Hop10Rep2-12,Hop10Rep2-12_random30_tdg_impact_w15,10,2,12,2048,random,30,0,614,45,tdg_impact_reroute,15,56746946,50042097,0.18823,0.004339,0.055946,0.80279,1.051305,1482432.50814,1459738.84912,19951,19951,50493268,0.014957,0.804223,0.81918,6253678,6704849,451171,0.8935270341384915,7.214490416679592,0.7950577639896251,True,0.23212499999999991,0.040989000000000005,451171,0.8935270341384915
Hop10Rep2-13,Hop10Rep2-13_random30_tdg_impact_w100,10,2,13,2048,random,30,0,614,45,tdg_impact_reroute,100,41686472,37265700,0.141584,0.004213,0.048635,0.470231,0.664663,1109744.01303,1044342.07959,16579,16579,38219677,0.016421,0.542242,0.558663,3466795,4420772,953977,2.4960362694849567,27.517548629209397,2.288457032295753,True,0.10599999999999998,0.03221399999999999,953977,2.4960362694849567
Hop10Rep2-14,Hop10Rep2-14_random30_tdg_impact_w30,10,2,14,2048,random,30,0,614,45,tdg_impact_reroute,30,55704154,44491284,0.204513,0.004965,0.060742,0.667701,0.937921,1877845.09446,1827766.49902,20654,20654,45398390,0.015086,0.693259,0.708345,10305764,11212870,907106,1.9981016947957846,8.801928707080814,1.628435107370987,True,0.229576,0.045655999999999995,907106,1.9981016947957846
Hop10Rep2-15,Hop10Rep2-15_random30_tdg_impact_w100,10,2,15,2048,random,30,0,614,45,tdg_impact_reroute,100,55647682,54550971,0.201629,0.004334,0.087854,0.827959,1.121776,1788543.05049,1768668.15186,21066,21066,54978305,0.013249,0.89413,0.907379,669377,1096711,427334,0.7772775097377047,63.8405562186929,0.7679277638195244,True,0.21439700000000006,0.074605,427334,0.7772775097377047
Hop10Rep2-16,Hop10Rep2-16_random30_tdg_impact_w30,10,2,16,2048,random,30,0,614,45,tdg_impact_reroute,30,45665750,37561257,0.160272,0.003925,0.049396,0.504427,0.71802,1174471.81922,1144969.28857,19383,19383,39076019,0.011279,0.539339,0.550618,6589731,8104493,1514762,3.8764491336745435,22.98670461662244,3.31706366368668,True,0.16740199999999994,0.038117,1514762,3.8764491336745435
Hop10Rep2-17,Hop10Rep2-17_random30_tdg_impact_w50,10,2,17,2048,random,30,0,614,45,tdg_impact_reroute,50,59422284,54077726,0.221471,0.005574,0.110413,0.920846,1.258304,1275822.3241,1275654.77295,24587,24587,55893489,0.01148,0.940967,0.952447,3528795,5344558,1815763,3.2486127319767064,51.455610201216,3.055693719211466,True,0.30585700000000005,0.098933,1815763,3.2486127319767064
Hop10Rep2-18,Hop10Rep2-18_random30_tdg_impact_w50,10,2,18,2048,random,30,0,614,45,tdg_impact_reroute,50,60658557,57660170,0.191221,0.003735,0.24689,1.240793,1.682639,1768869.98697,1774374.95898,15555,15555,57947270,0.008056,1.305127,1.313183,2711287,2998387,287100,0.495450432781389,10.589067110932927,0.4733050276814201,True,0.369456,0.238834,287100,0.495450432781389
Hop10Rep2-19,Hop10Rep2-19_random30_tdg_impact_w100,10,2,19,2048,random,30,0,614,45,tdg_impact_reroute,100,54909824,46264547,0.17731,0.004311,0.051016,0.595819,0.828456,1227910.78013,1269042.32715,19770,19770,49047471,0.01154,0.6434,0.65494,5862353,8645277,2782924,5.673939844931047,47.47110929689836,5.0681714077247815,True,0.173516,0.039476,2782924,5.673939844931047
Hop10Rep2-2,Hop10Rep2-2_random30_tdg_impact_w30,10,2,2,2048,random,30,0,614,45,tdg_impact_reroute,30,76065730,69443848,0.234071,0.004889,0.153193,1.400712,1.792865,2247026.69544,2180439.46826,22037,22037,69674735,0.009766,1.334988,1.344754,6390995,6621882,230887,0.3313783683569087,3.612692546309299,0.30353616536645345,True,0.4481109999999999,0.143427,230887,0.3313783683569087
Hop10Rep2-3,Hop10Rep2-3_random30_tdg_impact_w15,10,2,3,2048,random,30,0,614,45,tdg_impact_reroute,15,40823735,34135556,0.147142,0.003248,0.048892,0.563769,0.763051,1537367.95114,1487832.77832,13694,13694,35700275,0.013454,0.591203,0.604657,5123460,6688179,1564719,4.3829326244685785,30.540279420547833,3.8328658561006237,True,0.15839400000000003,0.035438,1564719,4.3829326244685785
Hop10Rep2-4,Hop10Rep2-4_random30_tdg_impact_w50,10,2,4,2048,random,30,0,614,45,tdg_impact_reroute,50,56344634,50739433,0.16097,0.003506,0.041785,0.683663,0.889924,1182343.59446,1196491.31494,16530,16530,50792949,0.010221,0.717993,0.728214,5551685,5605201,53516,0.10536108072795695,0.9639595906468037,0.09497976329032504,True,0.16171000000000002,0.031564,53516,0.10536108072795695
Hop10Rep2-5,Hop10Rep2-5_random30_tdg_impact_w30,10,2,5,2048,random,30,0,614,45,tdg_impact_reroute,30,50861935,38904835,0.165713,0.004037,0.039256,0.579398,0.788404,1629731.6759,1588900.55518,17064,17064,42479945,0.010694,0.632827,0.643521,8381990,11957100,3575110,8.41599488888227,42.652281856695126,7.029048344306996,True,0.14488299999999998,0.028561999999999997,3575110,8.41599488888227
Hop10Rep2-6,Hop10Rep2-6_random30_tdg_impact_w5,10,2,6,2048,random,30,0,614,45,tdg_impact_reroute,5,47806481,42555690,0.152142,0.00416,0.067468,0.613705,0.837475,1090862.90065,1099000.82666,17788,17788,43445131,0.012883,0.602706,0.615589,4361350,5250791,889441,2.0472742963992907,20.39370837011476,1.8605029723898732,True,0.22188599999999992,0.054585,889441,2.0472742963992907
Hop10Rep2-7,Hop10Rep2-7_random30_tdg_impact_w50,10,2,7,2048,random,30,0,614,45,tdg_impact_reroute,50,74090852,61093933,0.270487,0.005267,0.056876,1.010761,1.343391,2354322.07329,2331705.10303,22514,22514,63871113,0.014741,1.14929,1.164031,10219739,12996919,2777180,4.348100212376133,27.174666593735907,3.7483439925889908,True,0.17935999999999996,0.042135000000000006,2777180,4.348100212376133
