dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,total_before,unselected_after_remove,reduction,select_sec,evaluate_remaining_sec
Hop10Rep2-16,10,2,16,2048,most_delayed,10,0,204,45665750,36024218,9641532,0.000818,0.620915
Hop10Rep2-16,10,2,16,2048,most_delayed,30,0,614,45665750,21779286,23886464,0.000915,0.365829
Hop10Rep2-17,10,2,17,2048,random,10,0,204,59422284,52030379,7391905,0.000215,1.144133
Hop10Rep2-17,10,2,17,2048,random,30,0,614,59422284,37240103,22182181,0.000307,0.746074
Hop10Rep2-17,10,2,17,2048,most_delayed,10,0,204,59422284,49094617,10327667,0.000823,1.047286
Hop10Rep2-17,10,2,17,2048,most_delayed,30,0,614,59422284,32291681,27130603,0.000915,0.607578
Hop10Rep2-18,10,2,18,2048,random,10,0,204,60658557,53378227,7280330,0.000216,1.444728
Hop10Rep2-18,10,2,18,2048,random,30,0,614,60658557,39402892,21255665,0.000308,1.007813
Hop10Rep2-18,10,2,18,2048,most_delayed,10,0,204,60658557,49470811,11187746,0.000824,1.369803
Hop10Rep2-18,10,2,18,2048,most_delayed,30,0,614,60658557,31508698,29149859,0.000909,0.853556
Hop10Rep2-19,10,2,19,2048,random,10,0,204,54909824,46948062,7961762,0.000217,0.832927
Hop10Rep2-19,10,2,19,2048,random,30,0,614,54909824,31258512,23651312,0.00031,0.499373
Hop10Rep2-19,10,2,19,2048,most_delayed,10,0,204,54909824,44687227,10222597,0.00081,0.816163
Hop10Rep2-19,10,2,19,2048,most_delayed,30,0,614,54909824,28183042,26726782,0.000901,0.461223
Hop10Rep4-0,10,4,0,4096,random,10,0,409,162588845,142221534,20367311,0.000425,3.151371
Hop10Rep4-0,10,4,0,4096,random,30,0,1228,162588845,103575840,59013005,0.000616,2.351877
Hop10Rep4-0,10,4,0,4096,most_delayed,10,0,409,162588845,132504377,30084468,0.001791,3.002077
Hop10Rep4-0,10,4,0,4096,most_delayed,30,0,1228,162588845,89562649,73026196,0.002003,2.017417
