run_id,dataset,hop,rep,seed,algorithm,query_count,iteration,selected_count,total_before,tdg_remaining_before,tdg_remaining_after_remove,random_remaining_before,random_remaining_after_remove,tdg_selected_score_sum,random_selected_score_sum,mean_selected_tdg_score,mean_random_tdg_score,mean_all_query_tdg_score,max_selected_tdg_score,max_random_tdg_score,max_all_query_tdg_score,tdg_node_count,tdg_route_arc_count,tdg_same_edge_arc_count,tdg_edge_timeline_count,tdg_max_out_degree,tdg_max_flow,tdg_mean_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio
Hop10Rep1-10_gamma75,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,0,687,17077467,5244398,3531299,5634483,3754477,2261777814,2128839689,3292253.00437,3098747.7278,3112918.08887,11914212,11671904,11914212,11845,11065,11244,11845,5,115,23.2685521317,6.05263157895,1.15322054918
Hop10Rep1-10_gamma100,Hop10Rep1-10,10,1,10,tdg_selection_no_candidate_vs_random,1024,0,1024,17077467,0,0,0,0,3187628123,3187628123,3112918.08887,3112918.08887,3112918.08887,11914212,11914212,11914212,11845,11065,11244,11845,5,115,23.2685521317,6.05263157895,1.15322054918
Hop10Rep1-11_gamma0,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,0,0,23999457,23999457,23999457,23999457,23999457,0,0,0,0,7203799.85742,0,0,17877831,10523,9786,10032,10523,5,149,41.7612848047,25.25,3.49267699804
Hop10Rep1-11_gamma25,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,0,222,23999457,18223689,14702519,18628819,15567929,1726170969,1607290166,7775544.90541,7240045.79279,7203799.85742,17877831,17386661,17877831,10523,9786,10032,10523,5,149,41.7612848047,25.25,3.49267699804
Hop10Rep1-11_gamma50,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,0,461,23999457,12113202,7864537,13127236,8448248,3519649112,3308782105,7634813.69197,7177401.52928,7203799.85742,17877831,17510908,17877831,10523,9786,10032,10523,5,149,41.7612848047,25.25,3.49267699804
Hop10Rep1-11_gamma75,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,0,719,23999457,5915145,3031488,6876697,3268544,5453255972,5286763116,7584500.65647,7352938.96523,7203799.85742,17877831,17877831,17877831,10523,9786,10032,10523,5,149,41.7612848047,25.25,3.49267699804
Hop10Rep1-11_gamma100,Hop10Rep1-11,10,1,11,tdg_selection_no_candidate_vs_random,1024,0,1024,23999457,0,0,0,0,7376691054,7376691054,7203799.85742,7203799.85742,7203799.85742,17877831,17877831,17877831,10523,9786,10032,10523,5,149,41.7612848047,25.25,3.49267699804
Hop10Rep1-12_gamma0,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,0,0,18957851,18957851,18957851,18957851,18957851,0,0,0,0,4621191.6582,0,0,16853026,10836,10092,10345,10836,5,130,30.0620155039,25.6666666667,1.62185978404
Hop10Rep1-12_gamma25,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,0,210,18957851,14879489,12907822,14896473,12991779,1023853170,1103159221,4875491.28571,5253139.14762,4621191.6582,16853026,16326748,16853026,10836,10092,10345,10836,5,130,30.0620155039,25.6666666667,1.62185978404
Hop10Rep1-12_gamma50,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,0,435,18957851,10497675,7100346,11092007,7627064,2107860483,2014586343,4845656.28276,4631232.97241,4621191.6582,16853026,16326748,16853026,10836,10092,10345,10836,5,130,30.0620155039,25.6666666667,1.62185978404
Hop10Rep1-12_gamma75,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,0,706,18957851,5532608,3121996,5642811,3222119,3346940160,3345668070,4740708.44193,4738906.61473,4621191.6582,16853026,16326748,16853026,10836,10092,10345,10836,5,130,30.0620155039,25.6666666667,1.62185978404
Hop10Rep1-12_gamma100,Hop10Rep1-12,10,1,12,tdg_selection_no_candidate_vs_random,1024,0,1024,18957851,0,0,0,0,4732100258,4732100258,4621191.6582,4621191.6582,4621191.6582,16853026,16853026,16853026,10836,10092,10345,10836,5,130,30.0620155039,25.6666666667,1.62185978404
Hop10Rep1-13_gamma0,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,0,0,14008382,14008382,14008382,14008382,14008382,0,0,0,0,2332293.75195,0,0,9427567,8541,7742,8175,8541,5,105,25.9434492448,5.52631578947,1.17116539477
Hop10Rep1-13_gamma25,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,0,210,14008382,10736166,9415116,11057275,9911952,562963571,518277814,2680778.90952,2467989.59048,2332293.75195,9427567,9160246,9427567,8541,7742,8175,8541,5,105,25.9434492448,5.52631578947,1.17116539477
Hop10Rep1-13_gamma50,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,0,436,14008382,7335058,5441163,7994345,6052957,1171086911,1050771234,2685979.15367,2410025.76606,2332293.75195,9427567,9337634,9427567,8541,7742,8175,8541,5,105,25.9434492448,5.52631578947,1.17116539477
Hop10Rep1-13_gamma75,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,0,707,14008382,3514011,2486684,4043951,2800983,1824854570,1718824132,2581123.86139,2431151.53041,2332293.75195,9427567,9337634,9427567,8541,7742,8175,8541,5,105,25.9434492448,5.52631578947,1.17116539477
Hop10Rep1-13_gamma100,Hop10Rep1-13,10,1,13,tdg_selection_no_candidate_vs_random,1024,0,1024,14008382,0,0,0,0,2388268802,2388268802,2332293.75195,2332293.75195,2332293.75195,9427567,9427567,9427567,8541,7742,8175,8541,5,105,25.9434492448,5.52631578947,1.17116539477
Hop10Rep1-14_gamma0,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,0,0,19923136,19923136,19923136,19923136,19923136,0,0,0,0,4640826.75293,0,0,15902203,10606,9831,10187,10606,4,139,30.8532905902,38,3.1100321057
Hop10Rep1-14_gamma25,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,0,213,19923136,15305657,13254802,15461928,13581517,1069992693,1068961479,5023439.87324,5018598.49296,4640826.75293,15902203,15428853,15902203,10606,9831,10187,10606,4,139,30.8532905902,38,3.1100321057
Hop10Rep1-14_gamma50,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,0,447,19923136,10436806,7897390,11128969,8461430,2209811693,2048178663,4943650.31991,4582055.1745,4640826.75293,15902203,15609879,15902203,10606,9831,10187,10606,4,139,30.8532905902,38,3.1100321057
Hop10Rep1-14_gamma75,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,0,710,19923136,5523101,3351046,5624666,3644827,3408012178,3416236582,4800017.15211,4811600.81972,4640826.75293,15902203,15764916,15902203,10606,9831,10187,10606,4,139,30.8532905902,38,3.1100321057
Hop10Rep1-14_gamma100,Hop10Rep1-14,10,1,14,tdg_selection_no_candidate_vs_random,1024,0,1024,19923136,0,0,0,0,4752206595,4752206595,4640826.75293,4640826.75293,4640826.75293,15902203,15902203,15902203,10606,9831,10187,10606,4,139,30.8532905902,38,3.1100321057
Hop10Rep1-15_gamma0,Hop10Rep1-15,10,1,15,tdg_selection_no_candidate_vs_random,1024,0,0,19115140,19115140,19115140,19115140,19115140,0,0,0,0,4652399.5752,0,0,17595768,10937,10186,10620,10937,5,180,30.6826369205,10,1.59507965892
Hop10Rep1-15_gamma25,Hop10Rep1-15,10,1,15,tdg_selection_no_candidate_vs_random,1024,0,211,19115140,14908552,12806851,14926648,12954423,1072179736,1005878744,5081420.54976,4767197.83886,4652399.5752,17595768,16883352,17595768,10937,10186,10620,10937,5,180,30.6826369205,10,1.59507965892
Hop10Rep1-15_gamma50,Hop10Rep1-15,10,1,15,tdg_selection_no_candidate_vs_random,1024,0,434,19115140,10478375,7635006,10818494,7954735,2169948650,2017954923,4999881.68203,4649665.7212,4652399.5752,17595768,17595768,17595768,10937,10186,10620,10937,5,180,30.6826369205,10,1.59507965892
