gamma,removal_mode,selection_method,baseline_fraction,rows,win_rate,mean_value_vs_baseline,median_value_vs_baseline,mean_pct_vs_baseline_reduction,mean_pct_of_total_before,mean_tdg_selection_sec,mean_baseline_select_sec,mean_time_extra_vs_baseline_sec,mean_tdg_selected_fraction,mean_baseline_selected_fraction,avg_tt_win_rate,mean_avg_query_tt_value_vs_baseline,median_avg_query_tt_value_vs_baseline,mean_pct_avg_query_tt_vs_baseline,mean_tdg_remaining_avg_query_tt,mean_baseline_remaining_avg_query_tt
50,congestion_important,most_delayed,30,180,0.5666666666666667,-3324442.888888889,4536882.0,2.098423106715089,1.281497827948694,2.1969702555555557,0.0011069722222222223,2.1958632833333334,0.38303087022569443,0.2998046875,0.36666666666666664,-2892.030857825369,-2133.3787206026172,-6.806055953773542,51757.77315598126,48865.7422981559
50,congestion_important,random,10,180,0.8111111111111111,43152553.62222222,24854390.5,244.00686892279265,32.328423660533694,2.1969702555555557,0.00025050555555555554,2.19671975,0.38303087022569443,0.09969075520833333,0.8944444444444445,5811.612771415175,4488.079779931801,12.02794972723319,51757.77315598126,57569.38592739644
50,congestion_important,random,30,180,0.5944444444444444,4369659.583333333,7200075.5,18.140360852132094,7.152675318733534,2.1969702555555557,0.00036703333333333333,2.196603222222222,0.38303087022569443,0.2998046875,0.6111111111111112,936.9483708279705,1470.5572440598016,3.614114073784408,51757.77315598126,52694.72152680923
75,all_nodes,most_delayed,10,180,1.0,99957530.41666667,69897174.0,381.4624375733044,62.83210788550648,3.2044727833333337,0.0009975333333333333,3.20347525,0.6738972981770833,0.09969075520833333,1.0,17581.498324803117,14230.283232740258,32.82172314240266,38169.90736471098,55751.4056895141
75,all_nodes,most_delayed,30,180,1.0,57894044.222222224,37800528.5,81.01799141620018,35.36330204106388,3.2044727833333337,0.0011069722222222223,3.2033658111111114,0.6738972981770833,0.2998046875,0.9944444444444445,10695.83493344491,8281.090164323756,22.080420687329056,38169.90736471098,48865.7422981559
75,all_nodes,random,10,180,1.0,104371040.73333333,74260330.5,510.21017416917095,66.41022787364888,3.2044727833333337,0.00025050555555555554,3.204222277777778,0.6738972981770833,0.09969075520833333,1.0,19399.478562685454,15970.08802708509,35.498019149179655,38169.90736471098,57569.38592739644
75,all_nodes,random,30,180,1.0,65588146.69444445,44875222.0,108.70361984370466,41.23447953184872,3.2044727833333337,0.00036703333333333333,3.2041057500000005,0.6738972981770833,0.2998046875,1.0,14524.81416209825,11559.800462574596,29.4144124835179,38169.90736471098,52694.72152680923
75,anchor_important,most_delayed,10,180,1.0,102175835.59444444,70774568.5,390.4943083822441,64.25106595184775,3.270576511111111,0.0009975333333333333,3.269578977777778,0.6908053927951389,0.09969075520833333,1.0,18300.731487485176,14941.541919523857,33.8611862928247,37450.674202028924,55751.4056895141
75,anchor_important,most_delayed,30,180,1.0,60112349.4,39370038.5,84.38971629585244,36.782260107405136,3.270576511111111,0.0011069722222222223,3.2694695388888886,0.6908053927951389,0.2998046875,1.0,11415.068096126972,8909.751790898667,23.27533765787921,37450.674202028924,48865.7422981559
75,anchor_important,random,10,180,1.0,106589345.91111112,74706723.5,520.7617557964652,67.82918593999013,3.270576511111111,0.00025050555555555554,3.2703260055555554,0.6908053927951389,0.09969075520833333,1.0,20118.711725367517,16802.686084558798,36.504946212719354,37450.674202028924,57569.38592739644
75,anchor_important,random,30,180,1.0,67806451.87222221,47394043.5,112.3632828580625,42.653437598189974,3.270576511111111,0.00036703333333333333,3.2702094777777777,0.6908053927951389,0.2998046875,1.0,15244.04732478031,12122.36092565384,30.529342005528374,37450.674202028924,52694.72152680923
75,congestion_important,most_delayed,10,180,0.9777777777777777,99506297.27222222,53392385.5,378.29513546415103,62.46785071020294,3.1910985166666666,0.0009975333333333333,3.190100983333333,0.7095513237847222,0.09969075520833333,0.9722222222222222,16331.503777732309,12059.585625146974,29.645424485873285,39419.901911781795,55751.4056895141
75,congestion_important,most_delayed,30,180,0.9111111111111111,57442811.07777778,29167858.5,80.06869074785924,34.999044865760325,3.1910985166666666,0.0011069722222222223,3.1899915444444447,0.7095513237847222,0.2998046875,0.8722222222222222,9445.840386374104,7073.002170803958,18.231720528857807,39419.901911781795,48865.7422981559
75,congestion_important,random,10,180,0.9833333333333333,103919807.58888888,55558949.0,505.6416203680917,66.04597069834533,3.1910985166666666,0.00025050555555555554,3.1908480111111115,0.7095513237847222,0.09969075520833333,1.0,18149.48401561465,13719.37438967342,32.51959230754034,39419.901911781795,57569.38592739644
75,congestion_important,random,30,180,0.9388888888888889,65136913.55,33874395.0,107.68460823635158,40.87022235654517,3.1910985166666666,0.00036703333333333333,3.1907314833333333,0.7095513237847222,0.2998046875,0.9444444444444444,13274.819615027443,10698.833667264047,26.108861954436154,39419.901911781795,52694.72152680923
