run_id,dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,tdg_after,tdg_prepare_sec,normalize_sec,reroute_sec,evaluate_after_sec,method_total_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,normal_after,normal_reroute_sec,normal_evaluate_after_sec,normal_total_sec,normal_reduction,tdg_reduction,gain_vs_normal,pct_vs_normal_after,pct_extra_reduction_vs_normal,pct_of_total_before,tdg_better,extra_total_sec,extra_reroute_sec
Hop10Rep1-5_random30_tdg_impact_w0,Hop10Rep1-5,10,1,5,1024,random,30,0,307,45,tdg_impact_reroute,0,18340040,14315996,0.069218,0.002155,0.025479,0.183892,0.280744,835912.70684,849476.541016,8931,8931,14315996,0.018694,0.190175,0.208869,4024044,4024044,0,0.0,0.0,0.0,False,0.071875,0.006785000000000003
Hop10Rep1-5_random30_tdg_impact_w100,Hop10Rep1-5,10,1,5,1024,random,30,0,307,45,tdg_impact_reroute,100,18340040,14386811,0.069218,0.002155,0.019144,0.168124,0.258641,835912.70684,849476.541016,8931,8931,14315996,0.018694,0.190175,0.208869,4024044,3953229,-70815,-0.49465646679420705,-1.7597968610681196,-0.386122385774513,False,0.04977200000000001,0.0004500000000000025
Hop10Rep1-5_random30_tdg_impact_w15,Hop10Rep1-5,10,1,5,1024,random,30,0,307,45,tdg_impact_reroute,15,18340040,14025109,0.069218,0.002155,0.022288,0.167919,0.26158,835912.70684,849476.541016,8931,8931,14315996,0.018694,0.190175,0.208869,4024044,4314931,290887,2.03190193682647,7.2287231451743565,1.5860761481436245,True,0.05271099999999998,0.003594
Hop10Rep1-5_random30_tdg_impact_w30,Hop10Rep1-5,10,1,5,1024,random,30,0,307,45,tdg_impact_reroute,30,18340040,14090663,0.069218,0.002155,0.02058,0.166609,0.258562,835912.70684,849476.541016,8931,8931,14315996,0.018694,0.190175,0.208869,4024044,4249377,225333,1.5739945722253623,5.599665411213198,1.2286396321927324,True,0.049693000000000015,0.0018860000000000023
Hop10Rep1-5_random30_tdg_impact_w5,Hop10Rep1-5,10,1,5,1024,random,30,0,307,45,tdg_impact_reroute,5,18340040,14104006,0.069218,0.002155,0.025472,0.172327,0.269172,835912.70684,849476.541016,8931,8931,14315996,0.018694,0.190175,0.208869,4024044,4236034,211990,1.4807911374102087,5.268083549782259,1.155886246703933,True,0.06030300000000002,0.006778000000000003
Hop10Rep1-5_random30_tdg_impact_w50,Hop10Rep1-5,10,1,5,1024,random,30,0,307,45,tdg_impact_reroute,50,18340040,14165387,0.069218,0.002155,0.019287,0.165563,0.256223,835912.70684,849476.541016,8931,8931,14315996,0.018694,0.190175,0.208869,4024044,4174653,150609,1.052032984641795,3.7427274652066433,0.8212032252928565,True,0.04735399999999998,0.0005929999999999998
Hop10Rep1-6_random30_tdg_impact_w0,Hop10Rep1-6,10,1,6,1024,random,30,0,307,45,tdg_impact_reroute,0,14713545,13319114,0.0652,0.002309,0.036486,0.158516,0.262511,572300.452769,581799.245117,9393,9393,13319114,0.006719,0.161775,0.168494,1394431,1394431,0,0.0,0.0,0.0,False,0.09401699999999999,0.029767
Hop10Rep1-6_random30_tdg_impact_w100,Hop10Rep1-6,10,1,6,1024,random,30,0,307,45,tdg_impact_reroute,100,14713545,13725168,0.0652,0.002309,0.026234,0.16339,0.257133,572300.452769,581799.245117,9393,9393,13319114,0.006719,0.161775,0.168494,1394431,988377,-406054,-3.0486562394465575,-29.119691114153373,-2.7597292154949744,False,0.088639,0.019515
Hop10Rep1-6_random30_tdg_impact_w15,Hop10Rep1-6,10,1,6,1024,random,30,0,307,45,tdg_impact_reroute,15,14713545,13212424,0.0652,0.002309,0.03833,0.15672,0.262559,572300.452769,581799.245117,9393,9393,13319114,0.006719,0.161775,0.168494,1394431,1501121,106690,0.8010292576518228,7.65114946526576,0.7251141720095328,True,0.09406499999999998,0.031611
Hop10Rep1-6_random30_tdg_impact_w30,Hop10Rep1-6,10,1,6,1024,random,30,0,307,45,tdg_impact_reroute,30,14713545,13110981,0.0652,0.002309,0.035024,0.158505,0.261038,572300.452769,581799.245117,9393,9393,13319114,0.006719,0.161775,0.168494,1394431,1602564,208133,1.562664003026027,14.926016418166263,1.4145673255493492,True,0.09254399999999999,0.028305
