run_id,dataset,hop,rep,seed,query_count,selection_method,selection_fraction,random_seed,selected_count,lambda,reroute_method,impact_weight,total_before,total_after,tdg_prepare_sec,reroute_sec,evaluate_after_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-4_random10_tdg_impact_w100,Hop10Rep1-4,10,1,4,1024,random,10,0,102,45,tdg_impact_reroute,100,22706139,20994485,0.069259,0.023704,0.221971,6907056.0098,6083616.14355,9306,9306
Hop10Rep1-5_random10_normal_td_dijkstra,Hop10Rep1-5,10,1,5,1024,random,10,0,102,45,normal_td_dijkstra,-1,18340040,16437524,0,0.01523,0.234047,4182425.59804,4112689.62891,8931,8931
Hop10Rep1-5_random10_tdg_impact_w0,Hop10Rep1-5,10,1,5,1024,random,10,0,102,45,tdg_impact_reroute,0,18340040,16437524,0.067343,0.029138,0.23024,4182425.59804,4112689.62891,8931,8931
Hop10Rep1-5_random10_tdg_impact_w5,Hop10Rep1-5,10,1,5,1024,random,10,0,102,45,tdg_impact_reroute,5,18340040,16333894,0.067343,0.024096,0.224677,4182425.59804,4112689.62891,8931,8931
Hop10Rep1-5_random10_tdg_impact_w15,Hop10Rep1-5,10,1,5,1024,random,10,0,102,45,tdg_impact_reroute,15,18340040,16378531,0.067343,0.024676,0.223687,4182425.59804,4112689.62891,8931,8931
Hop10Rep1-5_random10_tdg_impact_w30,Hop10Rep1-5,10,1,5,1024,random,10,0,102,45,tdg_impact_reroute,30,18340040,16364559,0.067343,0.022388,0.222721,4182425.59804,4112689.62891,8931,8931
Hop10Rep1-5_random10_tdg_impact_w50,Hop10Rep1-5,10,1,5,1024,random,10,0,102,45,tdg_impact_reroute,50,18340040,16354219,0.067343,0.023244,0.225,4182425.59804,4112689.62891,8931,8931
Hop10Rep1-5_random10_tdg_impact_w100,Hop10Rep1-5,10,1,5,1024,random,10,0,102,45,tdg_impact_reroute,100,18340040,16390833,0.067343,0.023482,0.225458,4182425.59804,4112689.62891,8931,8931
Hop10Rep1-6_random10_normal_td_dijkstra,Hop10Rep1-6,10,1,6,1024,random,10,0,102,45,normal_td_dijkstra,-1,14713545,13829210,0,0.011854,0.17576,2089172.2451,2218760.15625,9393,9393
Hop10Rep1-6_random10_tdg_impact_w0,Hop10Rep1-6,10,1,6,1024,random,10,0,102,45,tdg_impact_reroute,0,14713545,13829210,0.065283,0.030461,0.172568,2089172.2451,2218760.15625,9393,9393
Hop10Rep1-6_random10_tdg_impact_w5,Hop10Rep1-6,10,1,6,1024,random,10,0,102,45,tdg_impact_reroute,5,14713545,14081099,0.065283,0.029687,0.17062,2089172.2451,2218760.15625,9393,9393
Hop10Rep1-6_random10_tdg_impact_w15,Hop10Rep1-6,10,1,6,1024,random,10,0,102,45,tdg_impact_reroute,15,14713545,14092049,0.065283,0.028178,0.166256,2089172.2451,2218760.15625,9393,9393
Hop10Rep1-6_random10_tdg_impact_w30,Hop10Rep1-6,10,1,6,1024,random,10,0,102,45,tdg_impact_reroute,30,14713545,14025398,0.065283,0.026685,0.164649,2089172.2451,2218760.15625,9393,9393
Hop10Rep1-6_random10_tdg_impact_w50,Hop10Rep1-6,10,1,6,1024,random,10,0,102,45,tdg_impact_reroute,50,14713545,14116593,0.065283,0.023113,0.164856,2089172.2451,2218760.15625,9393,9393
Hop10Rep1-6_random10_tdg_impact_w100,Hop10Rep1-6,10,1,6,1024,random,10,0,102,45,tdg_impact_reroute,100,14713545,14227887,0.065283,0.036175,0.171155,2089172.2451,2218760.15625,9393,9393
Hop10Rep1-7_random10_normal_td_dijkstra,Hop10Rep1-7,10,1,7,1024,random,10,0,102,45,normal_td_dijkstra,-1,29930878,27546924,0,0.007111,0.401262,10118498.5686,9888230.95117,12157,12157
Hop10Rep1-7_random10_tdg_impact_w0,Hop10Rep1-7,10,1,7,1024,random,10,0,102,45,tdg_impact_reroute,0,29930878,27546924,0.101326,0.028472,0.376343,10118498.5686,9888230.95117,12157,12157
Hop10Rep1-7_random10_tdg_impact_w5,Hop10Rep1-7,10,1,7,1024,random,10,0,102,45,tdg_impact_reroute,5,29930878,27541475,0.101326,0.028432,0.366412,10118498.5686,9888230.95117,12157,12157
Hop10Rep1-7_random10_tdg_impact_w15,Hop10Rep1-7,10,1,7,1024,random,10,0,102,45,tdg_impact_reroute,15,29930878,27634985,0.101326,0.021122,0.365858,10118498.5686,9888230.95117,12157,12157
Hop10Rep1-7_random10_tdg_impact_w30,Hop10Rep1-7,10,1,7,1024,random,10,0,102,45,tdg_impact_reroute,30,29930878,27794267,0.101326,0.026858,0.364312,10118498.5686,9888230.95117,12157,12157
Hop10Rep1-7_random10_tdg_impact_w50,Hop10Rep1-7,10,1,7,1024,random,10,0,102,45,tdg_impact_reroute,50,29930878,27853952,0.101326,0.026701,0.369694,10118498.5686,9888230.95117,12157,12157
Hop10Rep1-7_random10_tdg_impact_w100,Hop10Rep1-7,10,1,7,1024,random,10,0,102,45,tdg_impact_reroute,100,29930878,28017932,0.101326,0.023007,0.407332,10118498.5686,9888230.95117,12157,12157
Hop10Rep1-8_random10_normal_td_dijkstra,Hop10Rep1-8,10,1,8,1024,random,10,0,102,45,normal_td_dijkstra,-1,23006298,21228069,0,0.006261,0.304269,4654315.18627,4672440.1377,12596,12596
Hop10Rep1-8_random10_tdg_impact_w0,Hop10Rep1-8,10,1,8,1024,random,10,0,102,45,tdg_impact_reroute,0,23006298,21228069,0.088978,0.028449,0.262397,4654315.18627,4672440.1377,12596,12596
Hop10Rep1-8_random10_tdg_impact_w5,Hop10Rep1-8,10,1,8,1024,random,10,0,102,45,tdg_impact_reroute,5,23006298,20990118,0.088978,0.023302,0.248264,4654315.18627,4672440.1377,12596,12596
Hop10Rep1-8_random10_tdg_impact_w15,Hop10Rep1-8,10,1,8,1024,random,10,0,102,45,tdg_impact_reroute,15,23006298,20939936,0.088978,0.02501,0.245534,4654315.18627,4672440.1377,12596,12596
Hop10Rep1-8_random10_tdg_impact_w30,Hop10Rep1-8,10,1,8,1024,random,10,0,102,45,tdg_impact_reroute,30,23006298,21091907,0.088978,0.020215,0.249563,4654315.18627,4672440.1377,12596,12596
Hop10Rep1-8_random10_tdg_impact_w50,Hop10Rep1-8,10,1,8,1024,random,10,0,102,45,tdg_impact_reroute,50,23006298,21118135,0.088978,0.025274,0.246393,4654315.18627,4672440.1377,12596,12596
Hop10Rep1-8_random10_tdg_impact_w100,Hop10Rep1-8,10,1,8,1024,random,10,0,102,45,tdg_impact_reroute,100,23006298,21144171,0.088978,0.025212,0.244207,4654315.18627,4672440.1377,12596,12596
Hop10Rep1-9_random10_normal_td_dijkstra,Hop10Rep1-9,10,1,9,1024,random,10,0,102,45,normal_td_dijkstra,-1,28055401,26145692,0,0.005443,0.365977,11493016.5392,10862264.2266,11533,11533
Hop10Rep1-9_random10_tdg_impact_w0,Hop10Rep1-9,10,1,9,1024,random,10,0,102,45,tdg_impact_reroute,0,28055401,26145692,0.094591,0.026285,0.36403,11493016.5392,10862264.2266,11533,11533
Hop10Rep1-9_random10_tdg_impact_w5,Hop10Rep1-9,10,1,9,1024,random,10,0,102,45,tdg_impact_reroute,5,28055401,25805561,0.094591,0.028528,0.361791,11493016.5392,10862264.2266,11533,11533
Hop10Rep1-9_random10_tdg_impact_w15,Hop10Rep1-9,10,1,9,1024,random,10,0,102,45,tdg_impact_reroute,15,28055401,25861755,0.094591,0.027918,0.358726,11493016.5392,10862264.2266,11533,11533
Hop10Rep1-9_random10_tdg_impact_w30,Hop10Rep1-9,10,1,9,1024,random,10,0,102,45,tdg_impact_reroute,30,28055401,25914096,0.094591,0.026697,0.36044,11493016.5392,10862264.2266,11533,11533
Hop10Rep1-9_random10_tdg_impact_w50,Hop10Rep1-9,10,1,9,1024,random,10,0,102,45,tdg_impact_reroute,50,28055401,25931431,0.094591,0.026848,0.359619,11493016.5392,10862264.2266,11533,11533
Hop10Rep1-9_random10_tdg_impact_w100,Hop10Rep1-9,10,1,9,1024,random,10,0,102,45,tdg_impact_reroute,100,28055401,25973811,0.094591,0.026707,0.358153,11493016.5392,10862264.2266,11533,11533
Hop10Rep1-10_random10_normal_td_dijkstra,Hop10Rep1-10,10,1,10,1024,random,10,0,102,45,normal_td_dijkstra,-1,17077467,15996413,0,0.01342,0.215562,3082676.80392,3112918.08887,11845,11845
Hop10Rep1-10_random10_tdg_impact_w0,Hop10Rep1-10,10,1,10,1024,random,10,0,102,45,tdg_impact_reroute,0,17077467,15996413,0.080194,0.032353,0.214167,3082676.80392,3112918.08887,11845,11845
Hop10Rep1-10_random10_tdg_impact_w5,Hop10Rep1-10,10,1,10,1024,random,10,0,102,45,tdg_impact_reroute,5,17077467,16037007,0.080194,0.029196,0.207561,3082676.80392,3112918.08887,11845,11845
Hop10Rep1-10_random10_tdg_impact_w15,Hop10Rep1-10,10,1,10,1024,random,10,0,102,45,tdg_impact_reroute,15,17077467,16190341,0.080194,0.025906,0.20413,3082676.80392,3112918.08887,11845,11845
Hop10Rep1-10_random10_tdg_impact_w30,Hop10Rep1-10,10,1,10,1024,random,10,0,102,45,tdg_impact_reroute,30,17077467,16188012,0.080194,0.026553,0.202003,3082676.80392,3112918.08887,11845,11845
Hop10Rep1-10_random10_tdg_impact_w50,Hop10Rep1-10,10,1,10,1024,random,10,0,102,45,tdg_impact_reroute,50,17077467,16231396,0.080194,0.024904,0.200292,3082676.80392,3112918.08887,11845,11845
Hop10Rep1-10_random10_tdg_impact_w100,Hop10Rep1-10,10,1,10,1024,random,10,0,102,45,tdg_impact_reroute,100,17077467,16270864,0.080194,0.020445,0.200692,3082676.80392,3112918.08887,11845,11845
Hop10Rep1-11_random10_normal_td_dijkstra,Hop10Rep1-11,10,1,11,1024,random,10,0,102,45,normal_td_dijkstra,-1,23999457,22382468,0,0.011776,0.311493,7597879.04902,7203799.85742,10523,10523
Hop10Rep1-11_random10_tdg_impact_w0,Hop10Rep1-11,10,1,11,1024,random,10,0,102,45,tdg_impact_reroute,0,23999457,22382468,0.082276,0.026103,0.309367,7597879.04902,7203799.85742,10523,10523
Hop10Rep1-11_random10_tdg_impact_w5,Hop10Rep1-11,10,1,11,1024,random,10,0,102,45,tdg_impact_reroute,5,23999457,22305024,0.082276,0.025334,0.307418,7597879.04902,7203799.85742,10523,10523
Hop10Rep1-11_random10_tdg_impact_w15,Hop10Rep1-11,10,1,11,1024,random,10,0,102,45,tdg_impact_reroute,15,23999457,22162265,0.082276,0.026371,0.303021,7597879.04902,7203799.85742,10523,10523
Hop10Rep1-11_random10_tdg_impact_w30,Hop10Rep1-11,10,1,11,1024,random,10,0,102,45,tdg_impact_reroute,30,23999457,22167873,0.082276,0.024237,0.300226,7597879.04902,7203799.85742,10523,10523
Hop10Rep1-11_random10_tdg_impact_w50,Hop10Rep1-11,10,1,11,1024,random,10,0,102,45,tdg_impact_reroute,50,23999457,21503077,0.082276,0.024281,0.295599,7597879.04902,7203799.85742,10523,10523
Hop10Rep1-11_random10_tdg_impact_w100,Hop10Rep1-11,10,1,11,1024,random,10,0,102,45,tdg_impact_reroute,100,23999457,21476196,0.082276,0.023181,0.302203,7597879.04902,7203799.85742,10523,10523
Hop10Rep1-12_random10_normal_td_dijkstra,Hop10Rep1-12,10,1,12,1024,random,10,0,102,45,normal_td_dijkstra,-1,18957851,17749279,0,0.010821,0.241554,5447856.16667,4621191.6582,10836,10836
Hop10Rep1-12_random10_tdg_impact_w0,Hop10Rep1-12,10,1,12,1024,random,10,0,102,45,tdg_impact_reroute,0,18957851,17749279,0.079277,0.024068,0.236555,5447856.16667,4621191.6582,10836,10836
Hop10Rep1-12_random10_tdg_impact_w5,Hop10Rep1-12,10,1,12,1024,random,10,0,102,45,tdg_impact_reroute,5,18957851,17509356,0.079277,0.0213,0.230482,5447856.16667,4621191.6582,10836,10836
Hop10Rep1-12_random10_tdg_impact_w15,Hop10Rep1-12,10,1,12,1024,random,10,0,102,45,tdg_impact_reroute,15,18957851,17672482,0.079277,0.019336,0.229606,5447856.16667,4621191.6582,10836,10836
Hop10Rep1-12_random10_tdg_impact_w30,Hop10Rep1-12,10,1,12,1024,random,10,0,102,45,tdg_impact_reroute,30,18957851,17602929,0.079277,0.019161,0.227855,5447856.16667,4621191.6582,10836,10836
Hop10Rep1-12_random10_tdg_impact_w50,Hop10Rep1-12,10,1,12,1024,random,10,0,102,45,tdg_impact_reroute,50,18957851,17750065,0.079277,0.023897,0.242675,5447856.16667,4621191.6582,10836,10836
Hop10Rep1-12_random10_tdg_impact_w100,Hop10Rep1-12,10,1,12,1024,random,10,0,102,45,tdg_impact_reroute,100,18957851,18014056,0.079277,0.025226,0.227705,5447856.16667,4621191.6582,10836,10836
Hop10Rep1-13_random10_normal_td_dijkstra,Hop10Rep1-13,10,1,13,1024,random,10,0,102,45,normal_td_dijkstra,-1,14008382,13213045,0,0.012205,0.167727,2713289.02941,2332293.75195,8541,8541
Hop10Rep1-13_random10_tdg_impact_w0,Hop10Rep1-13,10,1,13,1024,random,10,0,102,45,tdg_impact_reroute,0,14008382,13213045,0.059994,0.025195,0.16119,2713289.02941,2332293.75195,8541,8541
Hop10Rep1-13_random10_tdg_impact_w5,Hop10Rep1-13,10,1,13,1024,random,10,0,102,45,tdg_impact_reroute,5,14008382,13098449,0.059994,0.023874,0.157063,2713289.02941,2332293.75195,8541,8541
Hop10Rep1-13_random10_tdg_impact_w15,Hop10Rep1-13,10,1,13,1024,random,10,0,102,45,tdg_impact_reroute,15,14008382,13100549,0.059994,0.023085,0.155055,2713289.02941,2332293.75195,8541,8541
