run_id,dataset,hop,rep,seed,query_count,iteration,selection_method,removal_mode,selection_fraction,gamma,reroute_method,impact_weight,random_seed,selected_count,selected_fraction,batch_count,total_before,total_after,reduction,initial_routes_sec,evaluate_before_sec,tdg_prepare_sec,important_nodes_sec,select_sec,normalize_sec,batch_sec,reroute_sec,evaluate_after_sec,method_total_sec,cumulative_sec,mean_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count
Hop10Rep1-10_random30_normal_td_dijkstra_iter4,Hop10Rep1-10,10,1,10,1024,4,random,none,30,-1,normal_td_dijkstra,0,4,307,0.2998046875,0,13156532,12998327,158205,0,0.213004,0,0,0.000159,0,0,0.053578,0.214905,0.481646,2.710306,216496.273616,216613.175781,11979,11979
Hop10Rep1-10_random30_tdg_impact_w30_iter0,Hop10Rep1-10,10,1,10,1024,0,random,none,30,-1,tdg_impact_reroute,30,0,307,0.2998046875,22,17077467,15029236,2048231,0.110848,0.300946,0.096683,0,0.000162,0.002383,0.045615,0.093537,0.249024,0.899198,0.899198,750803.501629,766727.28125,11845,11845
Hop10Rep1-10_random30_tdg_impact_w30_iter1,Hop10Rep1-10,10,1,10,1024,1,random,none,30,-1,tdg_impact_reroute,30,1,307,0.2998046875,17,15029236,13976390,1052846,0,0.225185,0.094461,0,0.000167,0.00258,0.023916,0.110883,0.206622,0.663814,1.563012,247641.602606,248139.018555,13076,13076
Hop10Rep1-10_random30_tdg_impact_w30_iter2,Hop10Rep1-10,10,1,10,1024,2,random,none,30,-1,tdg_impact_reroute,30,2,307,0.2998046875,16,13976390,13356237,620153,0,0.20696,0.094242,0,0.000184,0.002434,0.019277,0.130332,0.196277,0.649706,2.212718,210820.495114,199897.033203,12833,12833
Hop10Rep1-10_random30_tdg_impact_w30_iter3,Hop10Rep1-10,10,1,10,1024,3,random,none,30,-1,tdg_impact_reroute,30,3,307,0.2998046875,15,13356237,13253084,103153,0,0.195428,0.088735,0,0.000171,0.002281,0.01493,0.128411,0.198255,0.628211,2.840929,193432.397394,194670.450195,12648,12648
Hop10Rep1-10_random30_tdg_impact_w30_iter4,Hop10Rep1-10,10,1,10,1024,4,random,none,30,-1,tdg_impact_reroute,30,4,307,0.2998046875,11,13253084,13162543,90541,0,0.198081,0.090001,0,0.000159,0.00249,0.013673,0.123138,0.196862,0.624404,3.465333,200675.618893,200317.219727,12388,12388
Hop10Rep1-10_most_delayed10_normal_td_dijkstra_iter0,Hop10Rep1-10,10,1,10,1024,0,most_delayed,none,10,-1,normal_td_dijkstra,0,0,102,0.099609375,0,17077467,15450796,1626671,0.110848,0.29542,0,0,0.000179,0,0,0.022341,0.261774,0.690562,0.690562,1414170.62745,766727.28125,11845,11845
Hop10Rep1-10_most_delayed10_normal_td_dijkstra_iter1,Hop10Rep1-10,10,1,10,1024,1,most_delayed,none,10,-1,normal_td_dijkstra,0,1,102,0.099609375,0,15450796,14577201,873595,0,0.261282,0,0,0.000177,0,0,0.018805,0.236726,0.51699,1.207552,731837.22549,442274.271484,11933,11933
Hop10Rep1-10_most_delayed10_normal_td_dijkstra_iter2,Hop10Rep1-10,10,1,10,1024,2,most_delayed,none,10,-1,normal_td_dijkstra,0,2,102,0.099609375,0,14577201,14222934,354267,0,0.239162,0,0,0.000176,0,0,0.021544,0.235032,0.495914,1.703466,320816.990196,307354.795898,12026,12026
Hop10Rep1-10_most_delayed10_normal_td_dijkstra_iter3,Hop10Rep1-10,10,1,10,1024,3,most_delayed,none,10,-1,normal_td_dijkstra,0,3,102,0.099609375,0,14222934,14114271,108663,0,0.230019,0,0,0.000205,0,0,0.021799,0.231797,0.48382,2.187286,270086.823529,280292.860352,12084,12084
Hop10Rep1-10_most_delayed10_normal_td_dijkstra_iter4,Hop10Rep1-10,10,1,10,1024,4,most_delayed,none,10,-1,normal_td_dijkstra,0,4,102,0.099609375,0,14114271,14079631,34640,0,0.234204,0,0,0.000178,0,0,0.020741,0.232757,0.48788,2.675166,292510.323529,281273.637695,12070,12070
