run_id,dataset,hop,rep,seed,algorithm,removal_mode,query_count,lambda,gamma,theta_percentile,anchor_window,anchor_threshold,random_seed,selected_count,important_node_count,total_before,tdg_unselected_after_remove,random_unselected_after_remove,tdg_prepare_sec,tdg_select_sec,random_select_sec,mean_tdg_selected_impact_score,mean_random_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,tdg_max_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio
Hop10Rep1-7_gamma75_all_nodes,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,75,90,1200,20,0,695,12157,29930878,5365933,5694117,0.098495,0.301493,9.3e-05,10223577.0748,9774303.4964,9888230.95117,12157,12157,144,32,2.73034645749
Hop10Rep1-7_gamma75_congestion_important,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,75,90,1200,20,0,810,1220,29930878,3388798,3227660,0.102645,0.323345,9.4e-05,9826743.70988,9861415.89259,9888230.95117,12157,12157,144,32,2.73034645749
Hop10Rep1-7_gamma75_anchor_important,Hop10Rep1-7,10,1,7,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,75,90,1200,20,0,699,5573,29930878,5238382,5588981,0.109161,0.302155,9.3e-05,10275579.1073,9787455.30329,9888230.95117,12157,12157,144,32,2.73034645749
Hop10Rep1-8_gamma25_all_nodes,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,217,12596,23006298,15185461,15839113,0.088117,0.132494,9.4e-05,4978722.94931,4657492.25806,4672440.1377,12596,12596,95,72,3.78470652507
Hop10Rep1-8_gamma25_congestion_important,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,50,1271,23006298,20760733,21236307,0.092358,0.107124,9.4e-05,11304823.72,4631693.84,4672440.1377,12596,12596,95,72,3.78470652507
Hop10Rep1-8_gamma25_anchor_important,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,216,5736,23006298,15208773,15856706,0.099079,0.131589,9.3e-05,5016324.77315,4675358.52315,4672440.1377,12596,12596,95,72,3.78470652507
Hop10Rep1-8_gamma50_all_nodes,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,50,90,1200,20,0,449,12596,23006298,8636449,9380943,0.088116,0.173753,9.4e-05,4941446.76615,4677375.05122,4672440.1377,12596,12596,95,72,3.78470652507
Hop10Rep1-8_gamma50_congestion_important,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,50,90,1200,20,0,512,1271,23006298,7952214,7811097,0.092429,0.179247,9.4e-05,4590366.0625,4726338.48828,4672440.1377,12596,12596,95,72,3.78470652507
Hop10Rep1-8_gamma50_anchor_important,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,50,90,1200,20,0,457,5736,23006298,8462458,9161491,0.098982,0.174814,9.3e-05,4964167.08753,4671505.18162,4672440.1377,12596,12596,95,72,3.78470652507
Hop10Rep1-8_gamma75_all_nodes,Hop10Rep1-8,10,1,8,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,75,90,1200,20,0,712,12596,23006298,3407652,3875906,0.088116,0.218182,9.3e-05,4814097.89185,4890881.52247,4672440.1377,12596,12596,95,72,3.78470652507
