dataset,hop,rep,seed,query_count,random_fraction,random_seed,selected_count,total_before,random_unselected_after_remove,random_reduction,random_select_sec,evaluate_remaining_sec
Hop10Rep4-3,10,4,3,4096,30,0,1228,93285194,62153067,31132127,0.000624,2.048023
Hop10Rep4-4,10,4,4,4096,10,0,409,125720190,111490131,14230059,0.000603,2.640438
Hop10Rep4-4,10,4,4,4096,30,0,1228,125720190,83464341,42255849,0.000617,1.922886
Hop10Rep4-5,10,4,5,4096,10,0,409,118448873,105591341,12857532,0.000606,2.92406
Hop10Rep4-5,10,4,5,4096,30,0,1228,118448873,78510151,39938722,0.000611,2.179197
Hop10Rep4-6,10,4,6,4096,10,0,409,115757936,102268501,13489435,0.000602,2.550399
Hop10Rep4-6,10,4,6,4096,30,0,1228,115757936,75285877,40472059,0.000613,1.785817
Hop10Rep4-7,10,4,7,4096,10,0,409,166413531,148522955,17890576,0.000602,4.592659
Hop10Rep4-7,10,4,7,4096,30,0,1228,166413531,111850043,54563488,0.000616,3.536988
Hop10Rep4-8,10,4,8,4096,10,0,409,161756694,144364780,17391914,0.000602,3.168101
Hop10Rep4-8,10,4,8,4096,30,0,1228,161756694,107912771,53843923,0.000614,2.25682
Hop10Rep4-9,10,4,9,4096,10,0,409,153390208,137139629,16250579,0.000609,4.967115
Hop10Rep4-9,10,4,9,4096,30,0,1228,153390208,102882422,50507786,0.000628,3.775291
Hop10Rep4-10,10,4,10,4096,10,0,409,133507556,115448257,18059299,0.0006,3.065667
Hop10Rep4-10,10,4,10,4096,30,0,1228,133507556,81745058,51762498,0.000615,2.003848
Hop10Rep4-11,10,4,11,4096,10,0,409,140280422,124561829,15718593,0.000604,4.149499
Hop10Rep4-11,10,4,11,4096,30,0,1228,140280422,94386293,45894129,0.000617,3.054675
Hop10Rep4-12,10,4,12,4096,10,0,409,135147084,118898417,16248667,0.000602,3.379495
Hop10Rep4-12,10,4,12,4096,30,0,1228,135147084,87931684,47215400,0.000618,2.306602
Hop10Rep4-13,10,4,13,4096,10,0,409,104258475,91853035,12405440,0.000606,2.353726
Hop10Rep4-13,10,4,13,4096,30,0,1228,104258475,66940415,37318060,0.000616,1.631046
Hop10Rep4-14,10,4,14,4096,10,0,409,133324465,117784162,15540303,0.000615,3.422803
Hop10Rep4-14,10,4,14,4096,30,0,1228,133324465,86642992,46681473,0.000613,2.385381
Hop10Rep4-15,10,4,15,4096,10,0,409,132597653,117588888,15008765,0.000686,4.10275
Hop10Rep4-15,10,4,15,4096,30,0,1228,132597653,87124804,45472849,0.000619,2.830849
Hop10Rep4-16,10,4,16,4096,10,0,409,113649022,99741087,13907935,0.000598,2.580744
Hop10Rep4-16,10,4,16,4096,30,0,1228,113649022,72323458,41325564,0.000622,1.691107
Hop10Rep4-17,10,4,17,4096,10,0,409,144229318,126896494,17332824,0.000619,3.311632
Hop10Rep4-17,10,4,17,4096,30,0,1228,144229318,92753807,51475511,0.000616,2.477822
Hop10Rep4-18,10,4,18,4096,10,0,409,129989088,116591027,13398061,0.00061,3.74755
Hop10Rep4-18,10,4,18,4096,30,0,1228,129989088,89056437,40932651,0.00062,2.892976
Hop10Rep4-19,10,4,19,4096,10,0,409,132300937,116575500,15725437,0.000605,3.060889
Hop10Rep4-19,10,4,19,4096,30,0,1228,132300937,84482833,47818104,0.000617,2.090984
Hop20Rep1-0,20,1,0,1024,10,0,102,61370530,53163294,8207236,0.000158,1.8158
Hop20Rep1-0,20,1,0,1024,30,0,307,61370530,36509972,24860558,0.000163,1.042949
Hop20Rep1-1,20,1,1,1024,10,0,102,58798641,48698377,10100264,0.000156,1.106739
Hop20Rep1-1,20,1,1,1024,30,0,307,58798641,32552837,26245804,0.00016,0.675137
Hop20Rep1-2,20,1,2,1024,10,0,102,36432327,30534345,5897982,0.000157,0.576326
Hop20Rep1-2,20,1,2,1024,30,0,307,36432327,20627836,15804491,0.000162,0.355854
Hop20Rep1-3,20,1,3,1024,10,0,102,44243807,36382009,7861798,0.000161,0.746023
Hop20Rep1-3,20,1,3,1024,30,0,307,44243807,25276784,18967023,0.000165,0.477237
Hop20Rep1-4,20,1,4,1024,10,0,102,41765029,36177260,5587769,0.000158,0.813093
Hop20Rep1-4,20,1,4,1024,30,0,307,41765029,25361983,16403046,0.000163,0.513685
Hop20Rep1-5,20,1,5,1024,10,0,102,39126666,34044920,5081746,0.000157,0.635573
Hop20Rep1-5,20,1,5,1024,30,0,307,39126666,24422741,14703925,0.00016,0.455536
Hop20Rep1-6,20,1,6,1024,10,0,102,45648586,39792986,5855600,0.000157,0.811097
Hop20Rep1-6,20,1,6,1024,30,0,307,45648586,27584890,18063696,0.000164,0.485095
Hop20Rep1-7,20,1,7,1024,10,0,102,38591808,32917435,5674373,0.000162,0.790836
Hop20Rep1-7,20,1,7,1024,30,0,307,38591808,22988366,15603442,0.000158,0.500794
Hop20Rep1-8,20,1,8,1024,10,0,102,43194522,36942192,6252330,0.000164,0.775428
Hop20Rep1-8,20,1,8,1024,30,0,307,43194522,25615394,17579128,0.000163,0.491124
Hop20Rep1-9,20,1,9,1024,10,0,102,54322429,47597962,6724467,0.000158,1.406593
Hop20Rep1-9,20,1,9,1024,30,0,307,54322429,34330805,19991624,0.000164,0.921706
Hop20Rep1-10,20,1,10,1024,10,0,102,28639787,24984756,3655031,0.000155,0.437748
Hop20Rep1-10,20,1,10,1024,30,0,307,28639787,17781194,10858593,0.000165,0.285437
Hop20Rep1-11,20,1,11,1024,10,0,102,37366122,31354904,6011218,0.000156,0.64161
Hop20Rep1-11,20,1,11,1024,30,0,307,37366122,21523308,15842814,0.000162,0.433144
Hop20Rep1-12,20,1,12,1024,10,0,102,58512441,50291182,8221259,0.000155,1.473625
Hop20Rep1-12,20,1,12,1024,30,0,307,58512441,35513223,22999218,0.000162,0.87735
Hop20Rep1-13,20,1,13,1024,10,0,102,29471527,25203787,4267740,0.000156,0.52517
Hop20Rep1-13,20,1,13,1024,30,0,307,29471527,17167787,12303740,0.00016,0.327468
Hop20Rep1-14,20,1,14,1024,10,0,102,56567179,48726210,7840969,0.00016,1.113736
Hop20Rep1-14,20,1,14,1024,30,0,307,56567179,33885743,22681436,0.000161,0.704331
Hop20Rep1-15,20,1,15,1024,10,0,102,50107407,42828371,7279036,0.000156,0.970131
Hop20Rep1-15,20,1,15,1024,30,0,307,50107407,29610234,20497173,0.00016,0.635402
Hop20Rep1-16,20,1,16,1024,10,0,102,46138000,39858928,6279072,0.000157,1.11255
Hop20Rep1-16,20,1,16,1024,30,0,307,46138000,28224275,17913725,0.000165,0.667417
Hop20Rep1-17,20,1,17,1024,10,0,102,23315625,19618006,3697619,0.00016,0.3797
Hop20Rep1-17,20,1,17,1024,30,0,307,23315625,13303173,10012452,0.000161,0.256518
Hop20Rep1-18,20,1,18,1024,10,0,102,38574680,32222749,6351931,0.000159,0.70623
