dataset,hop,rep,seed,query_count,random_fraction,random_seed,selected_count,total_before,random_unselected_after_remove,random_reduction,random_select_sec,evaluate_remaining_sec
Hop40Rep2-1,40,2,1,2048,30,0,614,272502704,163606385,108896319,0.000315,6.77239
Hop40Rep2-2,40,2,2,2048,10,0,204,235824473,203559119,32265354,0.000303,6.496714
Hop40Rep2-2,40,2,2,2048,30,0,614,235824473,142959104,92865369,0.000313,3.782875
Hop40Rep2-3,40,2,3,2048,10,0,204,189130776,158163362,30967414,0.000305,5.467116
Hop40Rep2-3,40,2,3,2048,30,0,614,189130776,107649900,81480876,0.00031,3.057289
Hop40Rep2-4,40,2,4,2048,10,0,204,160372398,137865124,22507274,0.000306,3.08537
Hop40Rep2-4,40,2,4,2048,30,0,614,160372398,95596852,64775546,0.000314,1.923352
Hop40Rep2-5,40,2,5,2048,10,0,204,262149198,224980050,37169148,0.000305,5.062901
Hop40Rep2-5,40,2,5,2048,30,0,614,262149198,157363887,104785311,0.000317,3.491643
Hop40Rep2-6,40,2,6,2048,10,0,204,218858438,190205624,28652814,0.000306,4.652161
Hop40Rep2-6,40,2,6,2048,30,0,614,218858438,133920911,84937527,0.000311,2.990524
Hop40Rep2-7,40,2,7,2048,10,0,204,247936639,214920000,33016639,0.000308,9.605214
Hop40Rep2-7,40,2,7,2048,30,0,614,247936639,149526738,98409901,0.000313,5.348367
Hop40Rep2-8,40,2,8,2048,10,0,204,255380646,219143584,36237062,0.000305,8.270789
Hop40Rep2-8,40,2,8,2048,30,0,614,255380646,143785825,111594821,0.000311,4.244202
Hop40Rep2-9,40,2,9,2048,10,0,204,207730769,177257586,30473183,0.000305,4.565056
Hop40Rep2-9,40,2,9,2048,30,0,614,207730769,126231078,81499691,0.000321,2.834538
Hop40Rep2-10,40,2,10,2048,10,0,204,120399675,104501925,15897750,0.000305,2.178878
Hop40Rep2-10,40,2,10,2048,30,0,614,120399675,73982246,46417429,0.000319,1.504685
Hop40Rep2-11,40,2,11,2048,10,0,204,208447749,178307405,30140344,0.000309,3.857492
Hop40Rep2-11,40,2,11,2048,30,0,614,208447749,124150506,84297243,0.000313,2.571508
Hop40Rep2-12,40,2,12,2048,10,0,204,152002746,130368557,21634189,0.000305,3.230661
Hop40Rep2-12,40,2,12,2048,30,0,614,152002746,93459750,58542996,0.000309,2.06983
Hop40Rep2-13,40,2,13,2048,10,0,204,197723662,166221334,31502328,0.000307,4.70378
Hop40Rep2-13,40,2,13,2048,30,0,614,197723662,11
