run_id,dataset,hop,rep,seed,algorithm,removal_mode,query_count,lambda,gamma,theta_percentile,anchor_window,anchor_threshold,random_seed,selected_count,important_node_count,total_before,tdg_unselected_after_remove,random_unselected_after_remove,tdg_prepare_sec,tdg_select_sec,random_select_sec,mean_tdg_selected_impact_score,mean_random_selected_impact_score,mean_all_query_impact_score,tdg_node_count,tdg_edge_timeline_count,tdg_max_flow,tdg_max_congestion_ratio,tdg_mean_congestion_ratio,tdg_selection_sec,tdg_selected_fraction,selection_method,baseline_fraction,random_seed_baseline,baseline_selected_count,baseline_unselected_after_remove,baseline_reduction,baseline_select_sec,baseline_evaluate_remaining_sec,baseline_selected_fraction,value_vs_baseline,pct_vs_baseline_reduction,pct_of_total_before,time_extra_vs_baseline_sec,tdg_better,tdg_remaining_count,baseline_remaining_count,tdg_remaining_avg_query_tt,baseline_remaining_avg_query_tt,avg_query_tt_value_vs_baseline,pct_avg_query_tt_vs_baseline,tdg_avg_query_tt_better
Hop20Rep1-13_gamma25_all_nodes,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,157,21153,29471527,22780362,23035685,0.144897,0.201131,9.4e-05,7092612.5414,5510641.24204,5727123.50879,21153,21153,138,13.4,1.2464286144,0.346028,0.1533203125,most_delayed,10,0,102,24060133,5411394,0.000405,0.410506,0.099609375,1279771,23.649562386327812,4.342398003333861,0.345623,True,867,922,26274.92733564014,26095.588937093275,-179.33839854686448,-0.6872364481950664,False
Hop20Rep1-13_gamma25_all_nodes,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,all_nodes,1024,45,25,90,1200,20,0,157,21153,29471527,22780362,23035685,0.144897,0.201131,9.4e-05,7092612.5414,5510641.24204,5727123.50879,21153,21153,138,13.4,1.2464286144,0.346028,0.1533203125,most_delayed,30,0,307,16009509,13462018,0.000448,0.256251,0.2998046875,-6770853,-50.29597345657984,-22.97421847195091,0.34558,False,867,717,26274.92733564014,22328.464435146445,-3946.462900493694,-17.674582647437713,False
Hop20Rep1-13_gamma25_congestion_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,91,2128,29471527,24820026,25598345,0.152089,0.190598,9.4e-05,11298263.4286,5438839.81319,5727123.50879,21153,21153,138,13.4,1.2464286144,0.34268699999999996,0.0888671875,random,10,0,102,25111070,4360457,0.000114,0.444341,0.099609375,291044,6.674621490362134,0.9875429936154988,0.34257299999999996,True,933,922,26602.385852090032,27235.433839479392,633.0479873893601,2.324354336047767,True
Hop20Rep1-13_gamma25_congestion_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,91,2128,29471527,24820026,25598345,0.152089,0.190598,9.4e-05,11298263.4286,5438839.81319,5727123.50879,21153,21153,138,13.4,1.2464286144,0.34268699999999996,0.0888671875,random,30,0,307,17285462,12186065,0.00018,0.285797,0.2998046875,-7534564,-61.82934359861038,-25.56557045720773,0.34250699999999995,False,933,717,26602.385852090032,24108.036262203626,-2494.3495898864057,-10.346548191471843,False
Hop20Rep1-13_gamma25_congestion_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,91,2128,29471527,24820026,25598345,0.152089,0.190598,9.4e-05,11298263.4286,5438839.81319,5727123.50879,21153,21153,138,13.4,1.2464286144,0.34268699999999996,0.0888671875,most_delayed,10,0,102,24060133,5411394,0.000405,0.410506,0.099609375,-759893,-14.042462995671725,-2.5783971085040824,0.342282,False,933,922,26602.385852090032,26095.588937093275,-506.79691499675755,-1.9420788556198358,False
Hop20Rep1-13_gamma25_congestion_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,congestion_important,1024,45,25,90,1200,20,0,91,2128,29471527,24820026,25598345,0.152089,0.190598,9.4e-05,11298263.4286,5438839.81319,5727123.50879,21153,21153,138,13.4,1.2464286144,0.34268699999999996,0.0888671875,most_delayed,30,0,307,16009509,13462018,0.000448,0.256251,0.2998046875,-8810517,-65.44722344005186,-29.895013583788852,0.34223899999999996,False,933,717,26602.385852090032,22328.464435146445,-4273.921416943587,-19.141134534160617,False
Hop20Rep1-13_gamma25_anchor_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,206,6491,29471527,20675888,21175842,0.159316,0.209205,9.4e-05,6309817.98058,5498846.34951,5727123.50879,21153,21153,138,13.4,1.2464286144,0.368521,0.201171875,random,10,0,102,25111070,4360457,0.000114,0.444341,0.099609375,4435182,101.71369652309379,15.0490403839611,0.368407,True,818,922,25276.146699266505,27235.433839479392,1959.2871402128876,7.19388995879619,True
Hop20Rep1-13_gamma25_anchor_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,206,6491,29471527,20675888,21175842,0.159316,0.209205,9.4e-05,6309817.98058,5498846.34951,5727123.50879,21153,21153,138,13.4,1.2464286144,0.368521,0.201171875,random,30,0,307,17285462,12186065,0.00018,0.285797,0.2998046875,-3390426,-27.822155880507776,-11.504073066862128,0.368341,False,818,717,25276.146699266505,24108.036262203626,-1168.1104370628782,-4.84531558007581,False
Hop20Rep1-13_gamma25_anchor_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,206,6491,29471527,20675888,21175842,0.159316,0.209205,9.4e-05,6309817.98058,5498846.34951,5727123.50879,21153,21153,138,13.4,1.2464286144,0.368521,0.201171875,most_delayed,10,0,102,24060133,5411394,0.000405,0.410506,0.099609375,3384245,62.53924589486554,11.483100281841521,0.368116,True,818,922,25276.146699266505,26095.588937093275,819.44223782677,3.140156138273558,True
Hop20Rep1-13_gamma25_anchor_important,Hop20Rep1-13,20,1,13,tdg_selection_no_candidate_vs_random,anchor_important,1024,45,25,90,1200,20,0,206,6491,29471527,20675888,21175842,0.159316,0.209205,9.4e-05,6309817.98058,5498846.34951,5727123.50879,21153,21153,138,13.4,1.2464286144,0.368521,0.201171875,most_delayed,30,0,307,16009509,13462018,0.000448,0.256251,0.2998046875,-4666379,-34.66329490868308,-15.83351619344325,0.368073,False,818,717,25276.146699266505,22328.464435146445,-2947.6822641200597,-13.201455356151664,False
