hop,rep,gamma,removal_mode,selection_method,baseline_fraction,rows,win_rate,mean_value_vs_baseline,median_value_vs_baseline,mean_pct_vs_baseline_reduction,mean_pct_of_total_before,mean_tdg_selection_sec,mean_baseline_select_sec,mean_time_extra_vs_baseline_sec,mean_tdg_selected_fraction,mean_baseline_selected_fraction,avg_tt_win_rate,mean_avg_query_tt_value_vs_baseline,median_avg_query_tt_value_vs_baseline,mean_pct_avg_query_tt_vs_baseline,mean_tdg_remaining_avg_query_tt,mean_baseline_remaining_avg_query_tt
10,4,25,all_nodes,most_delayed,10,20,0.65,4577051.25,10788735.5,16.063878939635547,2.7291100299088455,1.1151799,0.0017604499999999998,1.1134194499999999,0.1641845703125,0.099853515625,0.05,-1163.3370337371282,-1123.620029029924,-3.989001088422886,31158.816081743636,29995.47904800651
10,4,25,all_nodes,most_delayed,30,20,0.0,-33476301.35,-30421179.0,-55.498722727848346,-25.748382501921988,1.1151799,0.0019450499999999998,1.11323485,0.1641845703125,0.2998046875,0.0,-5865.936496666929,-5819.843699415676,-23.8154487828946,31158.816081743636,25292.87958507671
10,4,25,all_nodes,random,10,20,0.7,12583806.6,18146988.5,74.27221721847386,8.76104676119219,1.1151799,0.00041995,1.11475995,0.1641845703125,0.099853515625,0.95,1008.2809076786567,1069.1861727060095,3.127708860884697,31158.816081743636,32167.09698942229
10,4,25,all_nodes,random,30,20,0.0,-18005104.7,-12869187.5,-40.830247438621356,-14.066185653751091,1.1151799,0.0006168,1.1145631,0.1641845703125,0.2998046875,0.1,-471.5164652861757,-251.60872940845366,-1.649742930678141,31158.816081743636,30687.299616457465
10,4,25,anchor_important,most_delayed,10,20,0.7,5144655.1,11073174.5,18.686619462556564,3.2499187849790028,1.1472571,0.0017604499999999998,1.14549665,0.1694580078125,0.099853515625,0.05,-1157.5403159531713,-1134.0100832900716,-3.94671490512753,31153.01936395968,29995.47904800651
10,4,25,anchor_important,most_delayed,30,20,0.0,-32908697.5,-29572235.0,-54.4550481640304,-25.22757374685183,1.1472571,0.0019450499999999998,1.14531205,0.1694580078125,0.2998046875,0.0,-5860.139778882972,-5821.023472067947,-23.760027310155635,31153.01936395968,25292.87958507671
10,4,25,anchor_important,random,10,20,0.7,13151410.45,18093531.5,78.59543538967486,9.281855516262347,1.1472571,0.00041995,1.14683715,0.1694580078125,0.099853515625,0.95,1014.0776254626135,1131.2526578461966,3.164605628404533,31153.01936395968,32167.09698942229
10,4,25,anchor_important,random,30,20,0.0,-17437500.85,-12729118.0,-39.33760348470085,-13.545376898680933,1.1472571,0.0006168,1.1466403,0.1694580078125,0.2998046875,0.2,-465.71974750221887,-234.04971609437598,-1.6114265707215167,31153.01936395968,30687.299616457465
10,4,25,congestion_important,most_delayed,10,20,0.15,-12792599.9,-16417602.0,-51.21316009266644,-8.768990332791715,0.8745666999999999,0.0017604499999999998,0.87280625,0.07427978515625,0.099853515625,0.0,-2241.8612670940606,-2211.096275888882,-7.47756060958295,32237.34031510057,29995.47904800651
10,4,25,congestion_important,most_delayed,30,20,0.05,-50845952.5,-54872414.0,-81.18845424588325,-37.24648286462255,0.8745666999999999,0.0019450499999999998,0.8726216499999999,0.07427978515625,0.2998046875,0.0,-6944.460730023861,-6689.102271504853,-27.954851719482434,32237.34031510057,25292.87958507671
10,4,25,congestion_important,random,10,20,0.2,-4785844.55,-9442059.5,-23.568258816970534,-2.7370536015083706,0.8745666999999999,0.00041995,0.8741467500000001,0.07427978515625,0.099853515625,0.35,-70.24332567827568,-114.94684463449084,-0.13432486475309463,32237.34031510057,32167.09698942229
10,4,25,congestion_important,random,30,20,0.05,-35374755.85,-38690219.5,-74.13120263533693,-25.564286016451653,0.8745666999999999,0.0006168,0.8739499000000001,0.07427978515625,0.2998046875,0.05,-1550.040698643108,-1514.2591748254035,-5.098695201778437,32237.34031510057,30687.299616457465
10,4,50,all_nodes,most_delayed,10,20,1.0,47801335.8,48583443.5,201.89301811032777,35.58029577371287,1.7210023499999998,0.0017604499999999998,1.7192419,0.4444091796875,0.099853515625,1.0,2344.9190196227323,2644.956056031122,7.968064513708062,27650.560028383778,29995.47904800651
